text,image,likes,comments,shares
"['1840s', 'advocating', 'hand', 'washing', 'even', 'cost', 'doctor', 'career', 'Wash', 'hand', 'controversial', 'medical', 'advice']",1,689,19,187
"['commentary', 'make', 'day']",0,4726,202,0
"['orange', 'trail', 'poop', 'reveals', 'unlikely', 'ally', 'one', 'coffee', 'worst', 'threat', 'invasive', 'snail', 'could', 'save', 'coffee', 'destruction']",1,890,26,116
"['father', 'memorial', 'buildingwide', 'singalong', 'phone', 'call', 'stranger', 'photographer', 'document', 'strange', 'suspended', 'state', 'life', 'country', 'like', 'scary', 'movie', 'Coronavirus', 'forced', 'Iran', 'take', 'hard', 'pause']",1,1287,35,150
"['Shot', 'photographer', 'Aarzoo', 'Khurana', 'captured', 'interaction', 'black', 'bird', 'deer', 'Ranthambore', 'National', 'Park', 'India']",1,29013,349,0
"['Venturing', 'see', 'fleeting', 'bloom', 'not', 'advisable', 'due', 'coronavirus', 'pandemic', 'still', 'experience', 'peak', 'bloom', 'comfort', 'home', 'via', 'livestream', '25', 'gorgeous', 'photo', 'cherry', 'blossom']",1,4146,90,1001
"['Blending', 'famous', 'grotesque', 'Madame', 'Tussauds', 'wax', 'museum', 'inspire', 'fascination', 'today', 'England', '19th', 'century', 'Madame', 'Tussaud', 'built', 'house', 'wax']",1,1232,30,158
"['Reintroduced', 'Yellowstone', 'mid1990s', '70year', 'absence', 'wolf', 'thrived', 'Photographer', 'Ronan', 'Donovan', 'spent', '2015', 'living', 'national', 'park', 'chronicling', 'life', 'iconic', 'specie', 'Photographer', 'Ronan', 'Donovan', 'Yellowstone']",1,5730,88,515
"['risk', 'exposing', 'people', 'group', 'coronavirus', 'go', 'exponentially', 'event', 'size', 'See', 'keeping', 'group', 'small', 'save', 'life', 'era', 'COVID19']",1,4268,124,1676
"['Discover', 'history', 'Resurrection', 'Islandand', 'nature', 'incredible', 'ability', 'bounce', 'back', 'httpsonnatgeocom2Jd0ejt']",0,8133,128,0
"['Experts', 'say', 'there', 'no', 'reason', 'time', 'believe', 'COVID19', 'could', 'spread', 'blood', 'normal', 'course', 'organ', 'transplantation', 'Blood', 'organ', 'donation', 'shrink', 'amid', 'coronavirus', 'fear']",1,1456,88,235
"['snowy', 'topography', 'Banff', 'Canada', 'accentuated', 'sun', 'shadow', 'tranquil', 'image', 'photographer', 'Barry', 'Chen']",1,19271,232,0
"['goddess', 'Isis', 'divine', 'protector', 'dead', 'first', 'worshipped', 'Nile', 'Delta', 'originated', 'grew', 'become', 'important', 'deity', 'whole', 'ancient', 'Egypt', 'Worship', 'Egyptian', 'goddess', 'spread', 'Egypt', 'England']",1,2533,88,459
"['herd', 'immunity', 'establishing', 'difficult', 'new', 'coronavirus', 'UK', 'backed', 'herd', 'immunity', 'beat', 'COVID19', 'well', 'ultimately', 'need']",1,3609,232,961
"['virtual', 'map', 'mouse', 'brain', 'magnifies', 'way', 'one', 'thousandth', 'millimeter', '0000039', 'inch', 'Mouse', 'Brain', 'Map', 'Reveals', 'Tiny', 'Communication', 'Network']",1,1622,33,136
